OID_;Description;plot_id;PERIOD;radius;Radie_utsok;datum;east;north;Huggningsklass;Agoslag;Agoslag_utsok;Biomass_above;Biomass_below;Basal_area;Basal_Area_Pine;Basal_Area_Spruce;Basal_Area_Contorta;Volume;Volume_Pine;Volume_Spruce;Volume_Contorta;Dgv;Hgv;Mean_Age_basal_area_weighted;Ruta;Block;Skanndatum;leaveson;scanner_type;Region;N;E;id;antalTillvAr;species_type 
15001;2.02E+11;201915321060;0;10;10;2019-07-07 00:00;708499;7246871;31;1;1;32.50052476;11.19811891;9.58974087;6.398;2.732;0;54.90912411;42.358;10.572;0;15.3;11.22;94.5;72450_7075_25;21G025;2021-07-15 00:00;1;1;0;7245000;707500;21G025_72450_7075_25;2;74
15002;2.02E+11;201915321120;0;10;10;2019-07-07 00:00;709077;7246839;32;1;1;41.76504191;14.1346135;11.84035424;10.776;1.034;0;76.58392541;74.286;2.77;0;18.08;12.94;67.7;72450_7075_25;21G025;2021-07-15 00:00;1;1;0;7245000;707500;21G025_72450_7075_25;2;98
15003;2.02E+11;201915322120;0;10;10;2019-07-07 00:00;709108;7245691;31;1;1;71.43017704;23.65867039;22.20152334;22.174;0.004;0;138.2748915;139.598;0.012;0;15.66;12.26;63;72450_7075_25;21G025;2021-07-15 00:00;1;1;0;7245000;707500;21G025_72450_7075_25;2;100
15004;2.02E+11;201915323060;0;10;10;2019-07-07 00:00;708505;7245675;31;1;1;29.73559918;10.01058126;9.90415071;9.876;0.004;0;51.4461736;51.558;0.012;0;14.96;9.86;55;72450_7075_25;21G025;2021-07-15 00:00;1;1;0;7245000;707500;21G025_72450_7075_25;2;100
15005;2.02E+11;202015362060;0;10;10;2020-06-10 00:00;713933;7261296;22;1;1;1.879767205;0.581573609;0.706285334;0.082;0.002;0;1.499819906;0.308;0.022;0;6.72;2.14;18.5;72600_7125_25;21G031;2021-07-14 00:00;1;1;0;7260000;712500;21G031_72600_7125_25;1;99
15006;2.02E+11;201720261050;0;7;7;2017-06-01 00:00;732366;7264226;31;1;1;18.44961773;6.318809906;5.599612053;5.582;0.004;0;28.89293274;29.084;0.012;0;18.32;10;57;72625_7300_25;18G002;2018-07-16 00:00;1;0;0;7262500;730000;18G002_72625_7300_25;1;100
15007;2.02E+11;201720261100;0;7;7;2017-06-01 00:00;732866;7264226;42;1;1;100.3562228;34.39656749;27.01732856;5.66;17.548;0;136.4684533;36.48;83.56;0;13.78;9.76;111.4;72625_7325_25;18G002;2018-07-16 00:00;1;0;0;7262500;732500;18G002_72625_7325_25;1;97
15008;2.02E+11;201720261150;0;7;7;2017-06-01 00:00;733366;7264226;42;1;1;41.17252931;13.78449344;12.25422442;0;8.828;0;43.50612639;0;31.174;0;9.5;6.46;107.8;72625_7325_25;18G002;2018-07-16 00:00;1;0;0;7262500;732500;18G002_72625_7325_25;1;99
15009;2.02E+11;201720262100;0;7;7;2017-06-01 00:00;733366;7263226;32;1;1;79.39817887;26.52843321;20.72818508;20.72;0.002;0;152.4702159;153.752;0.004;0;23.84;15.26;72.6;72625_7325_25;18G002;2018-07-16 00:00;1;0;0;7262500;732500;18G002_72625_7325_25;1;100
15010;2.02E+11;201720262150;0;7;7;2017-06-01 00:00;733366;7262726;31;1;1;48.52577037;16.03909166;15.24709242;13.5;1.736;0;80.33781408;75.532;5.716;0;17.02;10.28;50.8;72625_7325_25;18G002;2018-07-16 00:00;1;0;0;7262500;732500;18G002_72625_7325_25;1;94
15011;2.02E+11;201720263050;0;7;7;2017-06-01 00:00;732866;7262726;23;1;1;15.09437818;4.690505303;6.634519937;8.908;0.046;0;23.19941306;33.178;0.154;0;9.2;5.16;33.4;72625_7325_25;18G002;2018-07-16 00:00;1;0;0;7262500;732500;18G002_72625_7325_25;1;100
15012;2.02E+11;201720263150;1;7;7;2017-06-01 00:00;731866;7262726;23;1;1;40.954;13.564;14.26356;11.056;0.288;0;56.514;39.258;0.628;0;14.4;8.2;33.4;72625_7300_25;18G002;2018-07-16 00:00;1;0;0;7262500;730000;18G002_72625_7300_25;1;77
15013;2.02E+11;201720271100;0;7;7;2017-06-03 00:00;748315;7255051;23;1;1;14.40966789;4.332594952;6.10324591;10.918;0.076;0;23.06938712;35.752;0.222;0;8.86;6.3;26;72550_7475_25;18G002;2018-07-16 00:00;1;0;0;7255000;747500;18G002_72550_7475_25;1;100
